id,nombre,duracion,id_genero,id_autor
1,Sgt. Pepper's Lonely Hearts Club Band,39,1,1
2,Abbey Road,47,1,1
3,Led Zeppelin IV,42,2,2
4,A Night at the Opera,43,3,3
5,The Game,35,3,3
6,The Dark Side of the Moon,43,2,4
7,Wish You Were Here,44,2,4
8,Nevermind,49,4,5
9,Metallica (The Black Album),62,2,6
10,Back in Black,42,2,7
11,Highway to Hell,41,2,7
12,The Joshua Tree,50,3,8
13,Exile on Main St.,67,1,9
14,Sticky Fingers,46,1,9
15,Appetite for Destruction,53,2,10
16,OK Computer,53,3,11
17,Kid A,49,3,11
18,Parachutes,41,3,12
19,The Colour and the Shape,46,4,13
20,Californication,56,4,14
21,Use Your Illusion I,76,2,10
22,Use Your Illusion II,75,2,10
23,The Spaghetti Incident?,46,2,10
24,By the Way,68,4,14
25,Stadium Arcadium,122,4,14
26,Im with You,60,4,14
27,Revolver,35,1,1
28,The White Album,93,1,1
29,Californication,56,4,14
30,News of the World,40,3,3
31,A Day at the Races,44,3,3
34,In Utero,41,4,5
35,Ride the Lightning,47,2,6
